Name (WOQL.js),Name (WOQLpy),Short Description,Long Description,Parameters,Return,Example,See Also,Assignee
WOQL.query(),WOQLQuery(),No,No,No,No,No,No,
"WOQL.and(QueryA, QueryB, ...)","WOQLQuery().woql_and(QueryA, QueryB, ...)",Yes,Yes,Yes,Yes,Yes,Yes,Anne Ogborn
"WOQL.or(QueryA, QueryB, ...)","WOQLQuery().woql_or(QueryA, QueryB, ...)",Yes,Yes,Yes,Yes,Yes,Yes,Anne Ogborn
WOQL.not(Query),WOQLQuery().woql_not(Query),Yes,Yes,Yes,Yes,Yes,No,Anne Ogborn
"WOQL.when(Condition, Update)","WOQLQuery().when(Condition, Update)",Yes,Yes,Yes,Yes,Yes,No,Gavin Mendel-Gleason
"WOQL.triple(S, P, O)","WOQLQuery().triple(S, P, O)",Yes,Yes,Yes,Yes,Yes,No,Gavin Mendel-Gleason
"WOQL.quad(S, P, O, G)","WOQLQuery().quad(S, P, O, G)",No,No,No,No,No,No,
WOQL.opt(Optional),WOQLQuery().opt(Optional),Yes,No,Yes,Yes,Yes,No,Robin de Rooij
"WOQL.from(dbIRI, Query)","WOQLQuery().woql_from(dbIRI, Query)",No,No,No,No,No,No,
"WOQL.limit(Number, Query)","WOQLQuery().limit(Number, Query)",No,No,No,No,No,No,
"WOQL.start(Number, Query)","WOQLQuery().start(Number, Query)",No,No,No,No,No,No,
"WOQL.select(V1, V2, ...., Query)","WOQLQuery().select(V1, V2, ...., Query)",No,No,No,No,No,No,
"WOQL.sub(ClassA, ClassB)","WOQLQuery().sub(ClassA, ClassB)",No,No,No,No,No,No,
"WOQL.isa(Instance, Class)","WOQLQuery().isa(Instance, Class)",No,No,No,No,No,No,
"WOQL.eq(a, b)","WOQLQuery().eq(a, b)",No,No,No,No,No,No,
"WOQL.trim(StringA, VariableA)","WOQLQuery().trim(StringA, VariableA)",No,No,No,No,No,No,
WOQL.delete(JSON_OR_IRI),WOQLQuery().delete(JSON_OR_IRI),No,No,No,No,No,No,
"WOQL.delete_triple(S, P, O)","WOQLQuery().delete_triple(S, P, O)",No,No,No,No,No,No,Dirk Roeleveld
"WOQL.delete_quad(S, P, O, G)","WOQLQuery().delete_quad(S, P, O, G)",No,No,No,No,No,No,
"WOQL.add_triple(S, P, O)","WOQLQuery().add_triple(S, P, O)",No,No,No,No,No,No,Dirk Roeleveld
"WOQL.add_quad(S, P, O, G)","WOQLQuery().add_quad(S, P, O, G)",No,No,No,No,No,No,
"WOQL.eval(Arith, V)","WOQLQuery().eval(Arith, V)",No,No,No,No,No,No,
"WOQL.minus(N1, N2...)","WOQLQuery().minus(N1, N2...)",No,No,No,No,No,No,
"WOQL.plus(N1, N2....)","WOQLQuery().plus(N1, N2....)",No,No,No,No,No,No,
"WOQL.times(N1, N2, ...)","WOQLQuery().times(N1, N2, ...)",No,No,No,No,No,No,
"WOQL.divide(N1, N2, ...)","WOQLQuery().divide(N1, N2, ...)",No,No,No,No,No,No,
"WOQL.exp(A, B)","WOQLQuery().exp(A, B)",No,No,No,No,No,No,
"WOQL.get(Map, Target)","WOQLQuery().get(Map, Target)",No,No,No,No,No,No,
"http://woql.as/(Source, Target)","WOQLQuery().woql_http://woql.as/(Source, Target)",No,No,No,No,No,No,
WOQL.remote(JSON),WOQLQuery().remote(JSON),No,No,No,No,No,No,
WOQL.file(JSON),WOQLQuery().file(JSON),No,No,No,No,No,No,
"WOQL.unique(Prefix, [VariableList])","WOQLQuery().unique(Prefix, [VariableList])",No,No,No,No,No,No,
"WOQL.idgen(prefix, vari, type, mode)","WOQLQuery().idgen(prefix, vari, type, mode)",No,No,No,No,No,No,
WOQL.list([Vars]),WOQLQuery().list([Vars]),No,No,No,No,No,No,
WOQL.add_class(ClassID),WOQLQuery().add_class(ClassID),No,No,No,No,No,No,
WOQL.delete_class(ClassID),WOQLQuery().delete_class(ClassID),No,No,No,No,No,No,
"WOQL.add_property(Propid, PropType)","WOQLQuery().add_property(Propid, PropType)",No,No,No,No,No,No,
WOQL.delete_property(Propid),WOQLQuery().delete_property(Propid),No,No,No,No,No,No,
"WOQL.node(NodeID, PatternType)","WOQLQuery().node(NodeID, PatternType)",No,No,No,No,No,No,
WOQL.json(json),WOQLQuery().json(json),No,No,No,No,No,No,
"WOQL.insert(node, type, graph)","WOQLQuery().insert(node, type, graph)",No,No,No,No,No,No,
"WOQL.buildAsClauses(vars, cols)","WOQL.Query().build_as_clauses(vars, cols)",No,No,No,No,No,No,
"WOQL.typecast(va, type, vb)","WOQLQuery().typecast(va, type, vb)",No,No,No,No,No,No,
"WOQL.doctype(type, graph)","WOQLQuery().doctype(type, graph)",No,No,No,No,No,No,
"WOQL.length(va, vb)","WOQLQuery().length(va, vb)",No,No,No,No,No,No,
"WOQL.group_by(gvarlist, groupedvar, groupquery, output)","WOQLQuery().group_by(gvarlist, groupedvar, groupquery, output)",No,No,No,No,No,No,
"WOQL.order_by(gvarlist, asc_or_desc, query)","WOQLQuery().order_by(gvarlist, asc_or_desc, query)",No,No,No,No,No,No,
WOQL.asc(varlist_or_var),WOQLQuery().asc(varlist_or_var),No,No,No,No,No,No,
WOQL.desc(varlist_or_var),WOQLQuery().desc(varlist_or_var),No,No,No,No,No,No,
"WOQL.re(p, s, m)","WOQLQuery().re(p, s, m)",No,No,No,No,No,No,
"WOQL.concat(list, v)","WOQLQuery().concat(list, v)",No,No,No,No,No,No,
"WOQL.lower(u, l)","WOQLQuery().lower(u, l)",No,No,No,No,No,No,
"WOQL.pad(input, pad, len, output)","WOQLQuery().pad(input, pad, len, output)",No,No,No,No,No,No,
"WOQL.join(input, glue, output)","WOQLQuery().join(input, glue, output)",No,No,No,No,No,No,
"WOQL.less(v1, v2)","WOQLQuery().less(v1, v2)",No,No,No,No,No,No,
"WOQL.greater(v1, v2)","WOQLQuery().greater(v1, v2)",No,No,No,No,No,No,
"WOQL.into(dburl, query)","WOQLQuery().into(dburl, query)",No,No,No,No,No,No,
WOQL.comment(val),WOQLQuery().comment(val),No,No,No,No,No,No,
WOQL.abstract(varname),WOQLQuery().abstract(varname),No,No,No,No,No,No,
WOQL.div(*args),WOQLQuery().div(*args),No,No,No,No,No,No,
WOQL.update(woql),WOQLQuery().update(woql),No,No,No,No,No,No,
WOQL.graph(g),WOQLQuery().graph(g),No,No,No,No,No,No,
"WOQL.label(l, lang)","WOQLQuery().label(l, lang)",No,No,No,No,No,No,
"WOQL.description(c, lang)","WOQLQuery().description(c, lang)",No,No,No,No,No,No,
WOQL.domain(d),WOQLQuery.domain(d),No,No,No,No,No,No,
WOQL.parent(*args),WOQLQuery().parent(*args),No,No,No,No,No,No,
WOQL.entity(*args),WOQLQuery().entity(),No,No,No,No,No,No,
"WOQL.property(p, val)","WOQLQuery().property(p, val)",No,No,No,No,No,No,
WOQL.max(m),WOQLQuery().max(m),No,No,No,No,No,No,
WOQL.cardinality(m),WOQLQuery().cardinality(m),No,No,No,No,No,No,
WOQL.min(m),WOQLQuery().min(m),No,No,No,No,No,No,
"WOQL.star(GraphIRI, Subj, Pred, Obj)","WOQLQuery().star(GraphIRI, Subj, Pred, Obj)",No,No,No,No,No,No,
WOQL.get_vocabulary(),WOQLQuery().get_vocabulary(),No,No,No,No,No,No,
WOQL.set_start(start),WOQLQuery()._set_start(start),No,No,No,No,No,No,
"WOQL.get_paging_property(pageprop, q)","WOQLQuery()._get_paging_property(pageprop, q)",No,No,No,No,No,No,
"WOQL.set_paging_property(pageprop, val, q)","WOQLQuery()._set_paging_property(pageprop, val, q)",No,No,No,No,No,No,
"WOQL.with(graph, source, query)",WOQLQuery().woql_with,No,No,No,No,No,No,
WOQL.split(),WOQLQuery().split(),No,No,No,No,No,No,
WOQL.member(),WOQLQuery().member(),No,No,No,No,No,No,
WOQL.post(),WOQLQuery().post(),No,No,No,No,No,No,
